state_code,park_code,park_name
WI,apis,Apostle Islands National Lakeshore
WV,appa,Appalachian National Scenic Trail
NM,band,Bandelier National Monument
CO,beol,Bent's Old Fort National Historic Site
MA,boha,Boston Harbor Islands National Recreation Area
OK,chic,Chickasaw National Recreation Area
MD,clba,Clara Barton National Historic Site
DC,coga,Constitution Gardens
WA,ebla,Ebey's Landing National Historical Reserve
NJ,elis,Ellis Island Part of Statue of Liberty National Monument
FL,ever,Everglades National Park
PA,flni,Flight 93 National Memorial
DC,foth,Ford's Theatre
TN,fodo,Fort Donelson National Battlefield
DC,fodu,Fort Dupont Park
GA,fopu,Fort Pulaski National Monument
AL,frri,Freedom Riders National Monument
NM,gicl,Gila Cliff Dwellings National Monument
NV,grba,Great Basin National Park
TX,gumo,Guadalupe Mountains National Park
ID,hafo,Hagerman Fossil Beds National Monument
AR,hosp,Hot Springs National Park
WI,iatr,Ice Age National Scenic Trail
IN,indu,Indiana Dunes National Park
PA,jofl,Johnstown Flood National Memorial
CA,juba,Juan Bautista de Anza National Historic Trail
PA,lode,Lower Delaware National Wild and Scenic River
GA,malu,"Martin Luther King, Jr. National Historical Park"
KY,misp,Mill Springs Battlefield National Monument
SD,mnrr,Missouri National Recreational River
AL,mush,Muscle Shoals National Heritage Area
MS,natt,Natchez Trace National Scenic Trail
SC,ovvi,Overmountain Victory National Historic Trail
OH,pevi,Perry's Victory & International Peace Memorial
LA,popo,Poverty Point National Monument
AL,ruca,Russell Cave National Monument
ME,sacr,Saint Croix Island International Historic Site
WA,sajh,San Juan Island National Historical Park
CO,sand,Sand Creek Massacre National Historic Site
FL,timu,Timucuan Ecological & Historic Preserve
CA,tule,Tule Lake National Monument
MO,ulsg,Ulysses S Grant National Historic Site
VI,viis,Virgin Islands National Park
CT,wefa,Weir Farm National Historic Site
CA,whis,Whiskeytown National Recreation Area
WA,whmi,Whitman Mission National Historic Site
WY,yell,Yellowstone National Park
ME,acad,Acadia National Park
AK,alag,Alagnak Wild River
GA,armo,Arabia Mountain National Heritage Area
FL,bisc,Biscayne National Park
KS,brvb,Brown v. Board of Education National Historic Site
LA,crha,Cane River National Heritage Area
AZ,cagr,Casa Grande Ruins National Monument
MD,cato,Catoctin Mountain Park
UT,cebr,Cedar Breaks National Monument
VI,chri,Christiansted National Historic Site
WV,coal,Coal National Heritage Area
MA,colt,Coltsville National Historical Park
SC,cong,Congaree National Park
NA,xrds,Crossroads of the American Revolution National Heritage Area
OH,dabe,David Berger National Memorial
CA,deva,Death Valley National Park
CA,depo,Devils Postpile National Monument
NM,elmo,El Morro National Monument
KS,fols,Fort Larned National Historic Site
PA,fone,Fort Necessity National Battlefield
NC,fora,Fort Raleigh National Historic Site
ND,fous,Fort Union Trading Post National Historic Site
VA,gwmp,George Washington Memorial Parkway
AZ,glca,Glen Canyon National Recreation Area
UT,gosp,Golden Spike National Historical Park
AZ,grca,Grand Canyon National Park
PA,greg,Great Egg Harbor River
MD,hamp,Hampton National Historic Site
IA,heho,Herbert Hoover National Historic Site
NY,hofr,Home Of Franklin D Roosevelt National Historic Site
PA,inde,Independence National Historical Park
LA,jela,Jean Lafitte National Historical Park and Preserve
VA,jthg,Journey Through Hallowed Ground National Heritage Area
MI,kewe,Keweenaw National Historical Park
OR,lewi,Lewis and Clark National Historical Park
KY,maca,Mammoth Cave National Park
NJ,pine,New Jersey Pinelands National Reserve
SC,nisi,Ninety Six National Historic Site
GA,ocmu,Ocmulgee Mounds National Historical Park
OR,orca,Oregon Caves National Monument & Preserve
AR,peri,Pea Ridge National Military Park
MI,piro,Pictured Rocks National Lakeshore
MN,pipe,Pipestone National Monument
VA,prwi,Prince William Forest Park
ME,roca,Roosevelt Campobello International Park
PA,scrv,Schuylkill River Valley National Heritage Area
MA,spar,Springfield Armory National Historic Site
VA,this,Theodore Roosevelt Island
DC,wamo,Washington Monument
WV,whee,Wheeling National Heritage Area
KY,abli,Abraham Lincoln Birthplace National Historical Park
HI,alka,Ala Kahakai National Historic Trail
WV,blue,Bluestone National Scenic River
AR,buff,Buffalo National River
CA,cabr,Cabrillo National Monument
VA,came,Cape Henry Memorial Part of Colonial National Historical Park
NC,carl,Carl Sandburg Home National Historic Site
FL,casa,Castillo de San Marcos National Monument
CA,camo,Castle Mountains National Monument
CA,cech,César E. Chávez National Monument
TX,cham,Chamizal National Memorial
NA,cbgn,Chesapeake Bay Gateways and Watertrails Network
ID,ciro,City Of Rocks National Reserve
DC,cwdw,Civil War Defenses of Washington
AZ,coro,Coronado National Memorial
OH,daav,Dayton Aviation Heritage National Historical Park
MA,esse,Essex National Heritage Area
WY,fola,Fort Laramie National Historic Site
CA,fopo,Fort Point National Historic Site
MD,fowa,Fort Washington Park
VA,gewa,George Washington Birthplace National Monument
NC,guco,Guilford Courthouse National Military Park
CO,hove,Hovenweep National Monument
HI,kaho,Kaloko-Honok&#333;hau National Historical Park
NV,lake,Lake Mead National Recreation Area
NY,loea,Lower East Side Tenement Museum National Historic Site
DC,nama,National Mall and Memorial Parks
AZ,nava,Navajo National Monument
MI,noco,North Country National Scenic Trail
PA,oire,Oil Region National Heritage Area
NM,petr,Petroglyph National Monument
CA,pinn,Pinnacles National Park
AZ,pisp,Pipe Spring National Monument
MD,pisc,Piscataway Park
CA,poch,Port Chicago Naval Magazine National Memorial
AR,wicl,President William Jefferson Clinton Birthplace Home National Historic Site
HI,puhe,Pu`ukohol&#257; Heiau National Historic Site
RI,rowi,Roger Williams National Memorial
